pdb_code,Light_chain,Heavy_chain,ag
pdb_000010en,E,F,C;D
pdb_000010ev,G,F,A
pdb_000010ex,E,F,C;D
pdb_000010ey,E,F,C
pdb_000010ez,E,F,A;B
pdb_000010fd,E,F,D
pdb_000010fe,G,F,C
pdb_000010ff,E,F,C;D
pdb_000010fn,E,F,A;B
pdb_000010fo,E,F,D
pdb_000010op,T,S,B;F
pdb_000010or,H,G,A;L
pdb_000011hk,C,B,A;D
pdb_000011hw,D,C,A;B
pdb_000011sz,D,C,A;B
pdb_000011td,L,H,R
pdb_000012qj,C,B,A
pdb_000013br,L,H,A
pdb_000022cr,L,H,A;R
pdb_000022gk,L,H,A;R
pdb_000022gl,L,H,A;R
pdb_000022gm,L,H,A;R
pdb_000022hp,L,H,A;T
pdb_000022hp,t,T,A
pdb_000022ps,B,A,C
pdb_000026wc,L,H,A
pdb_000031mr,L,H,B
pdb_000035tl,C,B,A
pdb_000035uh,N,M,O
pdb_000036az,B,C,A;L
pdb_000036az,L,H,A;C
pdb_000036bb,L,H,A
pdb_000043yy,L,H,A
pdb_00009hvw,L,H,B;E
pdb_00009i3t,L,H,A
pdb_00009ib1,L,H,A
pdb_00009ibw,L,H,A
pdb_00009lae,B,A,G
pdb_00009lae,L,H,G
pdb_00009lbs,C,D,F
pdb_00009lbs,L,H,F
pdb_00009lbw,L,H,A;B
pdb_00009lfl,E,D,A
pdb_00009lho,H,I,A
pdb_00009lld,F,D,A
pdb_00009lly,N,G,B;C
pdb_00009lng,F,D,A;C
pdb_00009loy,F,E,C
pdb_00009loz,C,B,A
pdb_00009lp0,E,D,C
pdb_00009lp1,B,A,C
pdb_00009lrh,L,H,K
pdb_00009ls3,E,D,A
pdb_00009lsy,C,E,D
pdb_00009lsz,L,H,A
pdb_00009lue,B,A,G
pdb_00009lue,D,C,G
pdb_00009lue,L,H,G
pdb_00009lz0,L,H,A
pdb_00009lz1,L,H,A;R
pdb_00009lz2,L,H,A;R
pdb_00009m72,B,A,C
pdb_00009ma0,C,B,A
pdb_00009ma7,C,B,A
pdb_00009ma7,E,D,A
pdb_00009ma7,G,F,A
pdb_00009mb0,L,H,A;C
pdb_00009mq0,L,H,B
pdb_00009mq7,L,H,A
pdb_00009mq8,L,H,A
pdb_00009mq9,L,H,A
pdb_00009mqa,L,H,A
pdb_00009mqd,L,H,A
pdb_00009mqk,L,H,E
pdb_00009mqr,E,D,A
pdb_00009mr1,B,A,C
pdb_00009mr2,B,A,C
pdb_00009mr7,I,J,C
pdb_00009mr7,K,L,B
pdb_00009ms8,L,H,A
pdb_00009msd,L,H,A
pdb_00009mtf,L,H,A;B
pdb_00009mtg,L,H,E;F
pdb_00009mth,L,H,A;B
pdb_00009mti,L,H,A;C
pdb_00009mtj,L,H,A;B
pdb_00009mtk,L,H,A;B
pdb_00009mtl,L,H,A;B
pdb_00009mtm,L,H,A;B
pdb_00009mx1,C,B,A
pdb_00009n0d,D,E,B
pdb_00009n38,L,H,A
pdb_00009n3b,L,H,C;E
pdb_00009n4e,M,K,A;B
pdb_00009n4f,L,H,B;E
pdb_00009n5i,L,H,D
pdb_00009n5o,L,H,B
pdb_00009n6e,B,A,I;L
pdb_00009n7q,F,D,C;c
pdb_00009n8f,L,H,A;D
pdb_00009n8j,C,B,X
pdb_00009n8j,G,F,E;X
pdb_00009n8j,I,H,X
pdb_00009nab,C,D,A
pdb_00009naq,L,H,A
pdb_00009ney,B,C,A
pdb_00009nj2,L,H,A
pdb_00009njl,L,H,A;B
pdb_00009np0,C,B,A
pdb_00009nqz,D,E,A;C
pdb_00009nvg,L,H,A
pdb_00009nww,C,D,B
pdb_00009nz0,E,D,A
pdb_00009nz2,E,D,A;C
pdb_00009o4n,I,E,A;B
pdb_00009o7g,D,C,B
pdb_00009od2,D,C,A
pdb_00009odb,C,B,D
pdb_00009oef,L,H,C
pdb_00009oeg,L,H,A;B
pdb_00009ofp,L,H,A
pdb_00009og1,C,B,A
pdb_00009og2,C,B,A;D
pdb_00009og2,E,D,A;B
pdb_00009ogm,L,H,B
pdb_00009oi2,L,H,A;B
pdb_00009osu,L,H,A;B
pdb_00009oum,L,H,A
pdb_00009p3y,J,I,A;B
pdb_00009pdx,B,C,F
pdb_00009pfj,D,C,B
pdb_00009pfk,D,C,B
pdb_00009plp,L,H,B
pdb_00009pm6,D,C,A;B
pdb_00009pns,C,B,A
pdb_00009pv3,C,B,D
pdb_00009pv3,L,H,D
pdb_00009pv4,B,A,C
pdb_00009pv4,L,H,C
pdb_00009pv5,B,A,C
pdb_00009pv5,L,H,C
pdb_00009pxb,L,H,A
pdb_00009py7,L,H,A
pdb_00009pzb,D,E,A
pdb_00009pzb,I,H,A
pdb_00009pzb,K,J,A;B
pdb_00009pzb,O,N,A
pdb_00009pzc,C,D,A
pdb_00009pzc,F,E,A;B
pdb_00009pzc,I,G,A
pdb_00009pzc,L,H,A;J
pdb_00009pzc,J,K,A;H
pdb_00009pzc,P,O,A;B
pdb_00009pzs,K,J,B
pdb_00009pzt,G,F,A
pdb_00009pzw,K,J,B
pdb_00009q1z,B,A,F
pdb_00009q20,B,A,C
pdb_00009q24,C,B,A
pdb_00009q69,B,A,G
pdb_00009q69,D,C,G
pdb_00009q69,F,E,G
pdb_00009q6b,B,A,C;G
pdb_00009q6b,F,E,D;G
pdb_00009q71,H,G,B;D
pdb_00009q7c,C,B,A
pdb_00009q7c,E,D,A
pdb_00009q7y,C,D,B
pdb_00009rh1,C,B,A
pdb_00009rig,L,H,A;B
pdb_00009rii,L,H,B;C
pdb_00009rij,L,H,A;B
pdb_00009ril,L,H,A;B
pdb_00009rim,L,H,B
pdb_00009rin,L,H,A;B
pdb_00009rip,L,H,A;B
pdb_00009s6r,L,H,A
pdb_00009s6s,L,H,A
pdb_00009sfx,L,H,C
pdb_00009t3r,L,H,A
pdb_00009t3s,L,H,A
pdb_00009u34,L,H,A;C
pdb_00009u35,M,K,A;B
pdb_00009u37,D,E,A;C
pdb_00009u5p,Q,P,A;O
pdb_00009u5r,Q,P,O
pdb_00009u74,G,H,B
pdb_00009u9b,L,H,A;B
pdb_00009ua5,K,G,C
pdb_00009ua5,D,H,C
pdb_00009ua9,E,G,A;C
pdb_00009uaa,F,G,B;C
pdb_00009ubq,D,C,A;B
pdb_00009uco,F,B,A
pdb_00009uhf,M,I,A
pdb_00009uhg,M,I,A
pdb_00009uhh,B,A,C
pdb_00009uhq,B,C,A
pdb_00009uv4,M,I,A
pdb_00009uvi,A,B,C
pdb_00009uvt,L,H,A
pdb_00009uy9,L,H,C
pdb_00009v0n,B,C,A;E
pdb_00009v0p,F,D,B;G
pdb_00009v0q,C,A,B
pdb_00009v0s,E,D,B;C
pdb_00009v0t,E,D,F
pdb_00009v2o,E,D,B
pdb_00009v6r,D,E,A;C
pdb_00009vca,L,H,E
pdb_00009vjj,L,H,A;B
pdb_00009vwe,E,D,A
pdb_00009vwe,L,H,A;C
pdb_00009vwf,F,D,B
pdb_00009wdp,E,D,B
pdb_00009wdp,L,H,B;C
pdb_00009wla,L,H,R
pdb_00009wlb,L,H,R
pdb_00009x1h,L,H,A
pdb_00009x3j,D,C,B
pdb_00009xny,G,F,A
pdb_00009xqb,B,A,C
pdb_00009xqn,B,C,A
pdb_00009xy4,C,D,B
pdb_00009ygn,M,I,B
pdb_00009ygq,L,H,B
pdb_00009yq6,C,B,A;F
pdb_00009yq6,E,D,A
pdb_00009yrb,E,F,D
pdb_00009yrq,E,F,C
pdb_00009yxv,D,E,C;H
pdb_00009yyu,L,H,A;B
pdb_00009z12,L,H,A
pdb_00009z18,L,H,A
pdb_00009z3q,A,B,E
pdb_00009z3q,C,D,E
pdb_00009z5u,L,H,A
pdb_00009z60,C,B,A
pdb_00009z64,C,B,A
pdb_00009z76,C,B,A
pdb_00009zb5,E,C,F
pdb_00009zb5,I,G,F;J
pdb_00009zr7,L,H,A
pdb_00009zvh,G,D,A
pdb_00009zvl,F,D,A
pdb_00009zwe,D,C,A
pdb_00009zwe,F,E,A
